epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2972,0.46513,1.63313,0.87433,0.91201,0.9697,0.98096,0.87161,0.48907,1.1857,0.80226,0.000657407,0.000657407,0.000657407
2,32.6673,0.44849,0.81498,0.85498,0.99797,1,0.995,0.91757,0.37581,0.85467,0.79664,0.00129786,0.00129786,0.00129786
3,41.8161,0.46038,0.72446,0.861,0.98257,1,0.995,0.92704,0.38553,0.75903,0.79783,0.00191191,0.00191191,0.00191191
4,50.9397,0.43513,0.63894,0.85715,0.99572,1,0.995,0.96222,0.33109,0.71697,0.78662,0.0018812,0.0018812,0.0018812
5,60.0284,0.4131,0.57265,0.85435,0.99301,1,0.995,0.94178,0.33192,0.72974,0.79863,0.0018416,0.0018416,0.0018416
6,69.7259,0.39659,0.51501,0.85069,0.9974,1,0.995,0.95834,0.3088,0.42264,0.78844,0.001802,0.001802,0.001802
7,79.5273,0.39351,0.47723,0.85572,0.99764,1,0.995,0.93013,0.31812,0.41607,0.78356,0.0017624,0.0017624,0.0017624
8,88.3263,0.36736,0.44334,0.84578,0.99804,1,0.995,0.99155,0.26128,0.38973,0.78402,0.0017228,0.0017228,0.0017228
9,97.0576,0.34647,0.42681,0.84626,0.99789,1,0.995,0.96645,0.25531,0.35455,0.78641,0.0016832,0.0016832,0.0016832
10,105.928,0.35209,0.40216,0.83413,0.9966,1,0.995,0.96917,0.26378,0.33242,0.77949,0.0016436,0.0016436,0.0016436
11,114.592,0.34646,0.39118,0.83976,0.97426,1,0.995,0.995,0.22578,0.30042,0.77383,0.001604,0.001604,0.001604
12,123.293,0.34037,0.36443,0.84215,0.9867,1,0.995,0.995,0.24004,0.42819,0.78114,0.0015644,0.0015644,0.0015644
13,132.084,0.31369,0.34615,0.84078,0.96974,1,0.995,0.98325,0.20832,0.30915,0.78282,0.0015248,0.0015248,0.0015248
14,140.728,0.32393,0.33458,0.83807,0.96995,1,0.995,0.98004,0.22728,0.29091,0.78762,0.0014852,0.0014852,0.0014852
15,149.014,0.31229,0.32869,0.83723,0.99624,1,0.995,0.995,0.19432,0.30049,0.77805,0.0014456,0.0014456,0.0014456
16,157.871,0.30677,0.31373,0.83396,0.99573,1,0.995,0.99069,0.20306,0.26912,0.77707,0.001406,0.001406,0.001406
17,166.536,0.32093,0.3144,0.83812,0.98145,1,0.995,0.995,0.20654,0.29683,0.78977,0.0013664,0.0013664,0.0013664
18,175.346,0.29796,0.29581,0.83586,0.99678,1,0.995,0.995,0.19255,0.2491,0.78557,0.0013268,0.0013268,0.0013268
19,183.911,0.28743,0.28657,0.83227,0.99829,1,0.995,0.995,0.17938,0.23597,0.78088,0.0012872,0.0012872,0.0012872
20,192.606,0.27828,0.27857,0.82552,0.99733,1,0.995,0.995,0.17793,0.25752,0.78067,0.0012476,0.0012476,0.0012476
21,201.44,0.27666,0.27223,0.82703,0.98539,1,0.995,0.995,0.19053,0.26359,0.77449,0.001208,0.001208,0.001208
22,210.693,0.27927,0.27406,0.82832,0.99561,1,0.995,0.995,0.17176,0.25385,0.78013,0.0011684,0.0011684,0.0011684
23,220.103,0.27084,0.26102,0.82366,0.99284,1,0.995,0.995,0.18359,0.22457,0.77728,0.0011288,0.0011288,0.0011288
24,228.973,0.27089,0.25865,0.82752,0.99711,1,0.995,0.995,0.18006,0.24562,0.77612,0.0010892,0.0010892,0.0010892
25,238.053,0.25784,0.24671,0.81935,0.96902,1,0.98441,0.98142,0.17065,0.24452,0.77583,0.0010496,0.0010496,0.0010496
26,247.464,0.26425,0.25627,0.82686,0.96901,1,0.99412,0.99412,0.15969,0.25181,0.77679,0.00101,0.00101,0.00101
27,256.537,0.26579,0.24494,0.83742,0.97067,1,0.995,0.995,0.17131,0.22411,0.77584,0.0009704,0.0009704,0.0009704
28,266.082,0.2559,0.2398,0.82766,0.96968,1,0.995,0.995,0.15584,0.23717,0.77332,0.0009308,0.0009308,0.0009308
29,275.896,0.24692,0.24082,0.8278,0.96946,1,0.995,0.995,0.15605,0.22085,0.77704,0.0008912,0.0008912,0.0008912
30,284.965,0.24896,0.23411,0.82489,0.96997,1,0.995,0.995,0.15352,0.22909,0.76522,0.0008516,0.0008516,0.0008516
31,293.903,0.24267,0.22682,0.82155,0.97006,1,0.995,0.995,0.14238,0.2159,0.76536,0.000812,0.000812,0.000812
32,302.783,0.24007,0.22779,0.82118,0.99366,1,0.995,0.995,0.14304,0.20455,0.76086,0.0007724,0.0007724,0.0007724
33,311.678,0.23283,0.22301,0.82078,0.99822,1,0.995,0.995,0.15578,0.20235,0.77345,0.0007328,0.0007328,0.0007328
34,321.128,0.2344,0.21918,0.82227,0.99803,1,0.995,0.995,0.14072,0.1985,0.77385,0.0006932,0.0006932,0.0006932
